id,severity,category,viewport,page,title,expected,actual,steps_to_reproduce,evidence_path,suggested_owner
PX-001,P0,Commerce/Checkout,1920x1080,/checkout/,No enabled payment gateway - order cannot be placed,A customer can choose a payment method and place an order (MVP acceptance),"Order summary shows ""Sorry, it seems that there are no available payment methods."" wp-cli confirms bacs/cheque/cod all disabled",Add any product to cart > go to /checkout/ > observe payment area,screenshots/checkout-desktop-1920.png,Mohamed/Admin-setup
PX-002,P1,Commerce/Checkout,1920x1080,/checkout/,No shipping zones/methods configured,Customer can pick a delivery method (Standard/Express/Local Pickup) and see shipping cost,"Shipping & Handling shows ""-""; only the default catch-all zone exists with no methods",Go to /checkout/ with item in cart > observe Shipping & Handling row,screenshots/checkout-desktop-1920.png,Mohamed/Admin-setup
PX-003,P2,Commerce/Pricing,1920x1080,/product/business-cards/ + /cart/,Price does not reflect configured quantity/options,Choosing Print Quantity 500 (or options) should change the price,"Total stays flat at $19.99 regardless of Print Quantity=500 or any option; line item shows the specs but price is a fixed ""starting price""",Configure product with Print Quantity 500 > Add to Cart > view cart total,screenshots/cart-desktop-1920.png,Mohamed
PX-004,P2,Design/Layout,1920x1080,/checkout/,Checkout header text overlap,Heading and intro text should not overlap,"""2. Enter Your Address"" overlaps the intro line ""...delivery address, and payment to place the order.""",Open /checkout/ with item in cart > look at the heading area,screenshots/checkout-desktop-1920.png,Abdullah
PX-005,P2,Forms/Contact,1920x1080,/contact/,Contact form is non-functional,Submitting the contact form should send/store the message and show confirmation,"Form (contact_name/email/subject/message) has action=""#"" and no nonce/handler; submit does nothing",Open /contact/ > fill the message form > submit,screenshots/myaccount-login-desktop-1920.png,Ahmed
PX-006,P2,Commerce/Cart,1920x1080,/cart/,No editable quantity control in cart,Customer should be able to change line-item quantity,No qty input/stepper present; an ""Update cart"" button exists but nothing to update,Add item to cart > open /cart/ > try to change quantity,screenshots/cart-desktop-1920.png,Mohamed
PX-007,P3,Commerce/Cart,1920x1080,/cart/,No coupon field on cart page,Coupons are a required feature and are typically applied on the cart,Cart page has no coupon input (coupon field IS available on /checkout/),Open /cart/ > look for a coupon code field,screenshots/cart-desktop-1920.png,Mohamed
PX-008,P2,Content/Links,1920x1080,footer (all pages),Footer Privacy Policy links to WP default boilerplate,Footer should link to the branded /privacy/ template page,"Footer ""Privacy Policy"" -> /privacy-policy/ (default WordPress boilerplate, 5.5k chars) instead of the custom /privacy/ template",Scroll to footer > click Privacy Policy,screenshots/home-desktop-1920.png,Abdullah
PX-009,P2,Auth/UX,1920x1080,/my-account/,No visible registration option on My Account,New customers should be able to register from the account page,My Account shows only a Sign-in form; registration form exists only in the header Account dropdown,Open /my-account/ logged out > look for a Create Account option,screenshots/myaccount-login-desktop-1920.png,Ahmed
PX-010,P2,Admin/Artwork,1920x1080,wp-admin Artwork Files,Artwork File column empty in list view,Staff should be able to download/preview the uploaded file from the list,"File column shows ""-"" in the Artwork Files list (download may only exist on edit screen - needs confirm)",Log in as admin > Artwork Files > view File column,screenshots/admin-artwork-files.png,Ahmed
PX-011,P2,Design/Assets,1920x1080,/products/ and /product/*,Product cards/gallery use gray placeholder images,Product cards should be image-led and scannable,Product listing cards and product gallery show small gray placeholder blocks rather than product images,Open /products/ and any product page,screenshots/products-desktop-1920.png,Abdullah/Content
PX-012,P3,UX/Feedback,1920x1080,/product/business-cards/,No on-page add-to-cart confirmation,Adding to cart should show a visible confirmation,"Only the header ""Cart (n)"" count updates; no toast/inline notice on the product page (cart page does show a notice)",Configure product > Add to Cart > observe page,screenshots/product-businesscards-desktop-1920.png,Mohamed
PX-013,P3,SEO/Branding,1920x1080,/ (home),Browser tab title is just ""Pixel"",Title should be branded e.g. ""Pixel Signs & Printing"",Home document title is ""Pixel"",Open home > check browser tab/title,screenshots/home-desktop-1920.png,Abdullah
PX-014,P3,Content/Links,1920x1080,footer (all pages),Footer social links are placeholders,Social icons should point to real profiles (or be hidden),"Footer LinkedIn/Instagram/Facebook all link to /contact/ while the header announcement bar links to real social domains - inconsistent",Footer > click any social icon,screenshots/home-desktop-1920.png,Abdullah
PX-015,P3,Content/Pages,n/a,wp-admin Pages,Duplicate/orphan and default pages present,One canonical page per policy; no WP demo pages,"Orphan duplicates: /terms/ vs /terms-conditions/, /shipping-policy/ vs /shipping-delivery-policy/, /privacy/ vs /privacy-policy/; ""Sample Page"" published; ""Refund and Returns Policy"" draft",wp-admin > Pages,n/a,Abdullah
PX-016,P3,Content/Encoding,n/a,page id 18 (/shipping-policy/),Double-encoded ampersand in page title,Title should read ""Shipping & Delivery"",Title stored as ""Shipping &amp; Delivery"" (double-encoded),wp-admin > Pages > Shipping &amp; Delivery,n/a,Abdullah
PX-017,P3,Forms,1920x1080,footer (all pages),Footer newsletter input has no name attribute,Newsletter email field should submit a named value,Footer ""Email address"" input has empty name attribute,Inspect footer newsletter input,screenshots/home-desktop-1920.png,Abdullah
PX-018,P3,Performance,1920x1080,front-end,jQuery Migrate loaded in production,Production should not load jquery-migrate,Console logs ""JQMIGRATE: Migrate is installed"" on front-end pages,Open any page > check console,n/a,Mohamed
PX-019,P3,Content,1920x1080,legal/policy pages,Starter/placeholder legal copy,Real reviewed legal copy before launch,About/Contact/legal pages use starter placeholder content (rendered via templates),Open /privacy/ /terms/ /refund-policy/ etc.,n/a,Abdullah/Client
PX-020,P3,Navigation,1920x1080,/ (home) Packaging card,Packaging category card has no real filter,Packaging card should link to a packaging category filter,Packaging card links to /products/ (no ?category=) - known follow-up,Home > Print Categories > Packaging,screenshots/home-desktop-1920.png,Mohamed
PX-021,P3,UX/Upload,1920x1080,/upload-artwork/,Order number required for all uploads,First-time uploads (no order yet) should not be blocked by a required order number,pixel_order_number is required even when the user has no order,Open /upload-artwork/ > try to submit without an order number,n/a,Ahmed
PX-022,P3,UX/Consistency,1920x1080,portal vs tracking,Order label inconsistency,Order identifier should be consistent,Portal shows ""#ORD-59"" while order tracking shows ""Order #59"",Compare /client-dashboard/ and /order-tracking/,screenshots/client-dashboard-desktop-1920.png,Ahmed
PX-023,BLOCKED,Responsive,390x844/360x800,all,True phone-width testing not possible in headed browser,Render at 390 and 360 CSS px,"Headed Chrome min window width clamps viewport to ~585px; could not render below it. Tested at 585px (clean, no overflow). Prior Abdullah Playwright run validated 375px",Resize browser to 390x844,n/a,QA
PX-024,BLOCKED,Commerce,1920x1080,payment success/failed + invoice,Payment success/failed and invoice screens not reachable,Reach order-received/invoice after placing an order,Blocked by PX-001 (no payment gateway) - cannot complete an order through the UI,n/a,n/a,QA
PX-025,BLOCKED,Commerce,1920x1080,wishlist,Wishlist feature not located,Wishlist is a listed requirement,No wishlist UI found in nav/account during crawl - presence unconfirmed,Look for wishlist in nav/account,n/a,QA
